,gender,age,amount_music,life_enjoyment,resilience,balanced_life,emotional_flex,self_actualization,trauma,total_health,health_categorical,energy,dance,liveness,valence,tempo,instrumental,acoustic,popularity,genres
122,1,1,2,2,2,3,0,1,0,8,0.0,0.9740000000000001,0.294,0.21,0.131,143.842,0.0,0.00032900000000000003,48.0,"['melodic metalcore', 'metalcore', 'post-screamo', 'rap metal', 'screamo']"
123,1,1,2,2,2,3,0,1,0,8,0.0,0.893,0.385,0.12300000000000001,0.484,173.78400000000005,7.31e-06,0.0147,51.0,"['swedish alternative rock', 'swedish indie rock', 'swedish pop']"
124,0,1,1,3,6,1,3,6,0,19,1.0,0.777,0.602,0.0854,0.48200000000000004,140.026,0.000367,0.226,61.0,"['bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'progressive electro house']"
125,0,1,1,3,6,1,3,6,0,19,1.0,0.616,0.485,0.305,0.483,149.03799999999995,0.892,0.738,44.0,"['compositional ambient', 'focus', 'sleep', 'soundtrack']"
126,1,1,2,2,4,2,3,3,0,14,0.0,0.519,0.546,0.24,0.247,140.054,0.00045999999999999996,0.36,68.0,"['canadian pop', 'dance pop']"
127,1,1,2,2,4,2,3,3,0,14,0.0,0.35100000000000003,0.8029999999999999,0.371,0.4970000000000001,109.785,0.0,0.183,31.0,"['christmas', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
128,1,1,2,2,4,2,3,3,0,14,0.0,0.765,0.774,0.0373,0.917,119.001,0.0,0.156,81.0,"['dance pop', 'pop', 'post-teen pop', 'tropical house']"
129,0,1,0,1,4,1,2,5,1,13,0.0,0.64,0.46799999999999997,0.154,0.499,79.297,0.0,0.154,78.0,"['neo mellow', 'pop', 'pop quebecois', 'pop rap', 'pop rock']"
130,0,1,0,1,4,1,2,5,1,13,0.0,0.48200000000000004,0.5870000000000001,0.314,0.7070000000000001,117.227,2.84e-06,0.713,35.0,['french pop']
131,0,1,2,4,5,4,4,6,1,23,1.0,0.696,0.659,0.13,0.665,86.001,0.0,0.14300000000000002,69.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
132,0,1,2,4,5,4,4,6,1,23,1.0,0.899,0.6779999999999999,0.34700000000000003,0.757,124.944,0.0,0.637,75.0,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn', 'dance pop']"
133,0,1,1,1,5,6,1,6,0,19,1.0,0.774,0.6920000000000001,0.141,0.7709999999999999,128.033,1.0199999999999999e-05,0.0149,47.0,"['canadian pop', 'indie poptimism', 'modern alternative rock', 'modern rock']"
134,0,1,1,1,5,6,1,6,0,19,1.0,0.47600000000000003,0.698,0.0542,0.18100000000000002,124.986,0.23800000000000002,0.185,64.0,"['deep house', 'deep tropical house', 'edm', 'tropical house']"
135,1,1,1,6,6,5,5,5,0,27,1.0,0.737,0.585,0.0904,0.0497,171.85299999999995,0.0,0.0661,66.0,"['pop', 'pop rap', 'rap']"
